epub	1.1.1	r"/"
bullet_core	0.1.1	"^(?u:d/d)((?u:[A-Za-zª-ªµ-µº-ºÀ-ÖØ-öø-ˁˆ-ˑˠ-ˤˬ-ˬˮ-ˮͰ-ʹͶ-ͷͺ-ͽͿ-ͿΆ-ΆΈ-ΊΌ-ΌΎ-ΡΣ-ϵϷ-ҁҊ-ԯԱ-Ֆՙ-ՙա-ևא-תװ-ײؠ-يٮ-ٯٱ-ۓە-ەۥ-ۦۮ-ۯۺ-ۼۿ-ۿܐ-ܐܒ-ܯݍ-ޥޱ-ޱߊ-ߪߴ-ߵߺ-ߺࠀ-ࠕࠚ-ࠚࠤ-ࠤࠨ-ࠨࡀ-ࡘࢠ-ࢴऄ-हऽ-ऽॐ-ॐक़-ॡॱ-ঀঅ-ঌএ-ঐও-নপ-রল-লশ-হঽ-ঽৎ-ৎড়-ঢ়য়-ৡৰ-ৱਅ-ਊਏ-ਐਓ-ਨਪ-ਰਲ-ਲ਼ਵ-ਸ਼ਸ-ਹਖ਼-ੜਫ਼-ਫ਼ੲ-ੴઅ-ઍએ-ઑઓ-નપ-રલ-ળવ-હઽ-ઽૐ-ૐૠ-ૡૹ-ૹଅ-ଌଏ-ଐଓ-ନପ-ରଲ-ଳଵ-ହଽ-ଽଡ଼-ଢ଼ୟ-ୡୱ-ୱஃ-ஃஅ-ஊஎ-ஐஒ-கங-சஜ-ஜஞ-டண-தந-பம-ஹௐ-ௐఅ-ఌఎ-ఐఒ-నప-హఽ-ఽౘ-ౚౠ-ౡಅ-ಌಎ-ಐಒ-ನಪ-ಳವ-ಹಽ-ಽೞ-ೞೠ-ೡೱ-ೲഅ-ഌഎ-ഐഒ-ഺഽ-ഽൎ-ൎൟ-ൡൺ-ൿඅ-ඖක-නඳ-රල-ලව-ෆก-ะา-ำเ-ๆກ-ຂຄ-ຄງ-ຈຊ-ຊຍ-ຍດ-ທນ-ຟມ-ຣລ-ລວ-ວສ-ຫອ-ະາ-ຳຽ-ຽເ-ໄໆ-ໆໜ-ໟༀ-ༀཀ-ཇཉ-ཬྈ-ྌက-ဪဿ-ဿၐ-ၕၚ-ၝၡ-ၡၥ-ၦၮ-ၰၵ-ႁႎ-ႎႠ-ჅჇ-ჇჍ-Ⴭა-ჺჼ-ቈቊ-ቍቐ-ቖቘ-ቘቚ-ቝበ-ኈኊ-ኍነ-ኰኲ-ኵኸ-ኾዀ-ዀዂ-ዅወ-ዖዘ-ጐጒ-ጕጘ-ፚᎀ-ᎏᎠ-Ᏽᏸ-ᏽᐁ-ᙬᙯ-ᙿᚁ-ᚚᚠ-ᛪᛱ-ᛸᜀ-ᜌᜎ-ᜑᜠ-ᜱᝀ-ᝑᝠ-ᝬᝮ-ᝰក-ឳៗ-ៗៜ-ៜᠠ-ᡷᢀ-ᢨᢪ-ᢪᢰ-ᣵᤀ-ᤞᥐ-ᥭᥰ-ᥴᦀ-ᦫᦰ-ᧉᨀ-ᨖᨠ-ᩔᪧ-ᪧᬅ-ᬳᭅ-ᭋᮃ-ᮠᮮ-ᮯᮺ-ᯥᰀ-ᰣᱍ-ᱏᱚ-ᱽᳩ-ᳬᳮ-ᳱᳵ-ᳶᴀ-ᶿḀ-ἕἘ-Ἕἠ-ὅὈ-Ὅὐ-ὗὙ-ὙὛ-ὛὝ-ὝὟ-ώᾀ-ᾴᾶ-ᾼι-ιῂ-ῄῆ-ῌῐ-ΐῖ-Ίῠ-Ῥῲ-ῴῶ-ῼⁱ-ⁱⁿ-ⁿₐ-ₜℂ-ℂℇ-ℇℊ-ℓℕ-ℕℙ-ℝℤ-ℤΩ-Ωℨ-ℨK-ℭℯ-ℹℼ-ℿⅅ-ⅉⅎ-ⅎↃ-ↄⰀ-Ⱞⰰ-ⱞⱠ-ⳤⳫ-ⳮⳲ-ⳳⴀ-ⴥⴧ-ⴧⴭ-ⴭⴰ-ⵧⵯ-ⵯⶀ-ⶖⶠ-ⶦⶨ-ⶮⶰ-ⶶⶸ-ⶾⷀ-ⷆⷈ-ⷎⷐ-ⷖⷘ-ⷞⸯ-ⸯ々-〆〱-〵〻-〼ぁ-ゖゝ-ゟァ-ヺー-ヿㄅ-ㄭㄱ-ㆎㆠ-ㆺㇰ-ㇿ㐀-䶵一-鿕ꀀ-ꒌꓐ-ꓽꔀ-ꘌꘐ-ꘟꘪ-ꘫꙀ-ꙮꙿ-ꚝꚠ-ꛥꜗ-ꜟꜢ-ꞈꞋ-ꞭꞰ-ꞷꟷ-ꠁꠃ-ꠅꠇ-ꠊꠌ-ꠢꡀ-ꡳꢂ-ꢳꣲ-ꣷꣻ-ꣻꣽ-ꣽꤊ-ꤥꤰ-ꥆꥠ-ꥼꦄ-ꦲꧏ-ꧏꧠ-ꧤꧦ-ꧯꧺ-ꧾꨀ-ꨨꩀ-ꩂꩄ-ꩋꩠ-ꩶꩺ-ꩺꩾ-ꪯꪱ-ꪱꪵ-ꪶꪹ-ꪽꫀ-ꫀꫂ-ꫂꫛ-ꫝꫠ-ꫪꫲ-ꫴꬁ-ꬆꬉ-ꬎꬑ-ꬖꬠ-ꬦꬨ-ꬮꬰ-ꭚꭜ-ꭥꭰ-ꯢ가-힣ힰ-ퟆퟋ-ퟻ豈-舘並-龎ﬀ-ﬆﬓ-ﬗיִ-יִײַ-ﬨשׁ-זּטּ-לּמּ-מּנּ-סּףּ-פּצּ-ﮱﯓ-ﴽﵐ-ﶏﶒ-ﷇﷰ-ﷻﹰ-ﹴﹶ-ﻼＡ-Ｚａ-ｚｦ-ﾾￂ-ￇￊ-ￏￒ-ￗￚ-ￜ𐀀-𐀋𐀍-𐀦𐀨-𐀺𐀼-𐀽𐀿-𐁍𐁐-𐁝𐂀-𐃺𐊀-𐊜𐊠-𐋐𐌀-𐌟𐌰-𐍀𐍂-𐍉𐍐-𐍵𐎀-𐎝𐎠-𐏃𐏈-𐏏𐐀-𐒝𐔀-𐔧𐔰-𐕣𐘀-𐜶𐝀-𐝕𐝠-𐝧𐠀-𐠅𐠈-𐠈𐠊-𐠵𐠷-𐠸𐠼-𐠼𐠿-𐡕𐡠-𐡶𐢀-𐢞𐣠-𐣲𐣴-𐣵𐤀-𐤕𐤠-𐤹𐦀-𐦷𐦾-𐦿𐨀-𐨀𐨐-𐨓𐨕-𐨗𐨙-𐨳𐩠-𐩼𐪀-𐪜𐫀-𐫇𐫉-𐫤𐬀-𐬵𐭀-𐭕𐭠-𐭲𐮀-𐮑𐰀-𐱈𐲀-𐲲𐳀-𐳲𑀃-𑀷𑂃-𑂯𑃐-𑃨𑄃-𑄦𑅐-𑅲𑅶-𑅶𑆃-𑆲𑇁-𑇄𑇚-𑇚𑇜-𑇜𑈀-𑈑𑈓-𑈫𑊀-𑊆𑊈-𑊈𑊊-𑊍𑊏-𑊝𑊟-𑊨𑊰-𑋞𑌅-𑌌𑌏-𑌐𑌓-𑌨𑌪-𑌰𑌲-𑌳𑌵-𑌹𑌽-𑌽𑍐-𑍐𑍝-𑍡𑒀-𑒯𑓄-𑓅𑓇-𑓇𑖀-𑖮𑗘-𑗛𑘀-𑘯𑙄-𑙄𑚀-𑚪𑜀-𑜙𑢠-𑣟𑣿-𑣿𑫀-𑫸𒀀-𒎙𒒀-𒕃𓀀-𓐮𔐀-𔙆𖠀-𖨸𖩀-𖩞𖫐-𖫭𖬀-𖬯𖭀-𖭃𖭣-𖭷𖭽-𖮏𖼀-𖽄𖽐-𖽐𖾓-𖾟𛀀-𛀁𛰀-𛱪𛱰-𛱼𛲀-𛲈𛲐-𛲙𝐀-𝑔𝑖-𝒜𝒞-𝒟𝒢-𝒢𝒥-𝒦𝒩-𝒬𝒮-𝒹𝒻-𝒻𝒽-𝓃𝓅-𝔅𝔇-𝔊𝔍-𝔔𝔖-𝔜𝔞-𝔹𝔻-𝔾𝕀-𝕄𝕆-𝕆𝕊-𝕐𝕒-𝚥𝚨-𝛀𝛂-𝛚𝛜-𝛺𝛼-𝜔𝜖-𝜴𝜶-𝝎𝝐-𝝮𝝰-𝞈𝞊-𝞨𝞪-𝟂𝟄-𝟋𞠀-𞣄𞸀-𞸃𞸅-𞸟𞸡-𞸢𞸤-𞸤𞸧-𞸧𞸩-𞸲𞸴-𞸷𞸹-𞸹𞸻-𞸻𞹂-𞹂𞹇-𞹇𞹉-𞹉𞹋-𞹋𞹍-𞹏𞹑-𞹒𞹔-𞹔𞹗-𞹗𞹙-𞹙𞹛-𞹛𞹝-𞹝𞹟-𞹟𞹡-𞹢𞹤-𞹤𞹧-𞹪𞹬-𞹲𞹴-𞹷𞹹-𞹼𞹾-𞹾𞺀-𞺉𞺋-𞺛𞺡-𞺣𞺥-𞺩𞺫-𞺻𠀀-𪛖𪜀-𫜴𫝀-𫠝𫠠-𬺡丽-𪘀])+)"
bullet_core	0.1.1	"^(?u:\\()"
bullet_core	0.1.1	"^(?u:\\))"
bullet_core	0.1.1	"^(?u:\\*)"
bullet_core	0.1.1	"^(?u:\\+)"
bullet_core	0.1.1	"^(?u:,)"
bullet_core	0.1.1	"^(?u:\\-)"
bullet_core	0.1.1	"^(?u:/)"
bullet_core	0.1.1	"^(?u:\\[)"
bullet_core	0.1.1	"^(?u:\\])"
bullet_core	0.1.1	"^(?u:\\^)"
bullet_core	0.1.1	"^(?u:·)"
actix-web	0.4.0	"//+"
actix-web	0.4.0	"//+"
althea_kernel_interface	0.1.0	r"(\S*) .* (\S*) (REACHABLE|STALE|DELAY)"
althea_kernel_interface	0.1.0	r"-s (.*) --ip6-dst (.*)/.* bcnt = (.*)"
alcibiades	0.3.0	r"\buci(?:\s|$)"
ruma-identifiers	0.11.0	r"\A[a-z0-9._=-]+\z"
rusqbin	0.2.3	r"/rusqbins/((?i)[A-F0-9]{8}\-[A-F0-9]{4}\-4[A-F0-9]{3}\-[89AB][A-F0-9]{3}\-[A-F0-9]{12})$"
rusqbin	0.2.3	r"/rusqbins/((?i)[A-F0-9]{8}\-[A-F0-9]{4}\-4[A-F0-9]{3}\-[89AB][A-F0-9]{3}\-[A-F0-9]{12})/requests/?$"
rust-install	0.0.4	r"^(nightly|beta|stable)(?:-(\d{4}-\d{2}-\d{2}))?$"
rust_inbox	0.0.5	"^+(.*)\r\n"
rust_inbox	0.0.5	r"^\* CAPABILITY (.*)\r\n"
rust_inbox	0.0.5	r"^([a-zA-Z0-9]+) (OK|NO|BAD)(.*)"
rust_inbox	0.0.5	r"^\* (\d+) EXISTS\r\n"
rust_inbox	0.0.5	r"^\* (\d+) RECENT\r\n"
rust_inbox	0.0.5	r"^\* FLAGS (.+)\r\n"
rust_inbox	0.0.5	r"^\* OK \[UNSEEN (\d+)\](.*)\r\n"
rust_inbox	0.0.5	r"^\* OK \[UIDVALIDITY (\d+)\](.*)\r\n"
rust_inbox	0.0.5	r"^\* OK \[UIDNEXT (\d+)\](.*)\r\n"
rust_inbox	0.0.5	r"^\* OK \[PERMANENTFLAGS (.+)\](.*)\r\n"
rustml	0.0.7	r"^[a-z]+ (\d+)$"
rustml	0.0.7	r"^[a-z]+ (\d+)$"
rustml	0.0.7	r"^[a-z]+ (\d+)$"
rustfmt	0.10.0	r"([^\\](\\\\)*)\\[\n\r][[:space:]]*"
rustfmt-core	0.4.0	r"(^\s*$)|(^\s*//\s*rustfmt-[^:]+:\s*\S+)"
rustfmt-core	0.4.0	r"^## `([^`]+)`"
rustfmt-core	0.4.0	r"([^\\](\\\\)*)\\[\n\r][[:space:]]*"
rustfmt-core	0.4.0	r"\s;"
rust-enum-derive	0.4.0	r"^(0x)?([:digit:]+)$"
rust-enum-derive	0.4.0	r"^([:digit:]+)[:space:]*<<[:space:]*([:digit:]+)$"
rust-enum-derive	0.4.0	r"^[:space:]*([[:alnum:]_]+)([:space:]*=[:space:]*([:graph:]+))?[:space:]*,"
rust-enum-derive	0.4.0	r"^#define[:space:]+([:graph:]+)[:space:]+([:graph:]+)"
rustsourcebundler	0.1.1	r"^\s*pub mod (.+);$"
rustsourcebundler	0.1.1	r"^\s*pub mod (.+);$"
rustfmt-nightly	0.3.8	r"(^\s*$)|(^\s*//\s*rustfmt-[^:]+:\s*\S+)"
rustfmt-nightly	0.3.8	r"^## `([^`]+)`"
rustfmt-nightly	0.3.8	r"\s;"
rustfmt-nightly	0.3.8	r"([^\\](\\\\)*)\\[\n\r][[:space:]]*"
rustache	0.1.0	r"(?s)(.*?)([ \t\r\n]*)(\{\{(\{?\S?\s*?[\w\.\s]*.*?\s*?\}?)\}\})([ \t\r\n]*)"
rustfilt	0.2.0	r"_ZN[\$\._[:alnum:]]*"
rustache-lists	0.1.2	r"(?s)(.*?)([ \t\r\n]*)(\{\{(\{?\S?\s*?[\w\.\s]*.*?\s*?\}?)\}\})([ \t\r\n]*)"
rural	0.7.3	"(.+)=(.+)"
rural	0.7.3	"(.*):(.+)"
rural	0.7.3	"(.+):=(.+)"
rural	0.7.3	"(.*)==(.+)"
rusoto_credential	0.10.0	r"^\[([^\]]+)\]$"
rumblebars	0.3.0	"([:blank:]*)$"
rumblebars	0.3.0	"(\r?\n)[:blank:]*(\\{\\{~?[#!/](?:\\}?[^}])*\\}\\})[:blank:]*(:?\r?\n)?\\z"
rumblebars	0.3.0	"(\r?\n[:blank:]*)(\\{\\{~?>(?:\\}?[^}])*\\}\\})[:blank:]*(:?\r?\n)?\\z"
rumblebars	0.3.0	"((?:[:blank:]|\r?\n)*)(\r?\n)[:blank:]*$"
rumblebars	0.3.0	"^([:blank:]*\r?\n)(.*)"
diesel_cli	1.0.1	r"(?P<stamp>[\d-]*)_hello"
dishub	0.1.1	r"(\d+)s"
spreadsheet_textconv	0.1.0	r"\n"
spreadsheet_textconv	0.1.0	r"\r"
spreadsheet_textconv	0.1.0	r"\t"
spreadsheet_textconv	0.1.0	r"\\"
split_aud	0.1.0	r"DELAY (-?\d+)ms"
split_aud	0.1.0	r"Trim\((\d+), ?(\d+)\)"
spotrust	0.0.5	r"spotify:[a-z]+:[a-zA-Z0-9]+"
spaceslugs	0.1.0	r"[^\x00-\x7F]"
spaceslugs	0.1.0	r"[']+"
spaceslugs	0.1.0	r"\W+"
spaceslugs	0.1.0	r"[ ]+"
space_email_api	0.1.1	"PHPSESSID=([0-9a-f]+)"
lorikeet	0.6.0	"[^0-9.,]"
claude	0.2.0	r"(?:\b|(-)?)(\p{Sc})?((?:(?:\d{1,3}[\.,])+\d{3})|\d+)(?:[\.,](\d{2}))?\b"
clam	0.1.6	r"<%=\s*(.+?)\s*%>"
classifier	0.0.3	r"(\s)"
ultrastar-txt	0.1.2	r"#([A-Z3a-z]*):(.*)"
ultrastar-txt	0.1.2	"^-\\s?(-?[0-9]+)\\s*$"
ultrastar-txt	0.1.2	"^-\\s?(-?[0-9]+)\\s+(-?[0-9]+)"
ultrastar-txt	0.1.2	"^(.)\\s*(-?[0-9]+)\\s+(-?[0-9]+)\\s+(-?[0-9]+)\\s?(.*)"
ultrastar-txt	0.1.2	"^P\\s?(-?[0-9]+)"
db-accelerate	2.0.0	r"^template\.add($|\..+$)"
db-accelerate	2.0.0	r"^template\.sub($|\..+$)"
stache	0.2.0	r"[^\w]"
strukt	0.1.0	"\"([<>]?)([xcbB\\?hHiIlLqQfdspP]*)\""
steamid-ng	0.3.1	r"^STEAM_([0-4]):([0-1]):([0-9]{1,10})$"
steamid-ng	0.3.1	r"^\[([AGMPCgcLTIUai]):([0-4]):([0-9]{1,10})(:([0-9]+))?\]$"
strscan	0.1.1	r"^\w+"
strscan	0.1.1	r"^\s+"
strscan	0.1.1	r"^\w+"
strscan	0.1.1	r"^\s+"
strscan	0.1.1	r"^(\w+)\s+"
tk-carbon	0.2.0	r"^([a-zA-Z0-9\.-]+)(?:\s+(\d+))$"
tk-carbon	0.2.0	r"^([a-zA-Z0-9\.-]+)(?:\s+(\d+))$"
evalrs	0.0.10	r"extern\s+crate\s+([a-z0-9_]+)\s*;(\s*//(.+))?"
evalrs	0.0.10	r"(?m)^# "
evalrs	0.0.10	r"(?m)^\s*fn +main *\( *\)"
evalrs	0.0.10	r"(extern\s+crate\s+[a-z0-9_]+\s*;)"
gate_build	0.2.1	"(.*)_t([0-9]+)"
rafy	0.2.0	r"^.*(?:(?:youtu\.be/|v/|vi/|u/w/|embed/)|(?:(?:watch)?\?v(?:i)?=|\&v(?:i)?=))([^#\&\?]*).*"
raven	0.2.1	r"^(?P<protocol>.*?)://(?P<public_key>.*?):(?P<secret_key>.*?)@(?P<host>.*?)/(?P<path>.*/)?(?P<project_id>.*)$"
indradb	0.10.0	r"Item #0: (.+)"
indradb-lib	0.10.0	r"[a-zA-Z0-9]{8}"
nickel	0.10.1	"/hello/(?P<name>[a-zA-Z]+)"
nickel	0.10.1	"/hello/(?P<name>[a-zA-Z]+)"
pact_verifier	0.3.0	r"\{(\w+)\}"
pact_matching	0.3.1	"application/.*json"
pact_matching	0.3.1	"application/json.*"
pact_matching	0.3.1	"application/.*xml"
pangu	0.1.0	"([\"'\\(\\[\\{{<\u{201c}])(\\s*)(.+?)(\\s*)([\"'\\)\\]\\}}>\u{201d}])"
pangu	0.1.0	"([\\(\\[\\{{<\u{201c}]+)(\\s*)(.+?)(\\s*)([\\)\\]\\}}>\u{201d}]+)"
parser-haskell	0.2.0	r"\{-[\s\S]*?-\}"
parser-haskell	0.2.0	r"(?m);+\s*$"
parser-haskell	0.2.0	r"(?m)^#(if|ifn?def|endif|else|include|elif).*"
parser-haskell	0.2.0	r"'([^'\\]|\\[A-Z]{1,3}|\\.)'"
parser-haskell	0.2.0	r"forall\s+(.*?)\."
httpbis	0.4.1	"/inf/(\\d+)"
httpbis	0.4.1	"/bq/(\\d+)"
ovpnfile	0.1.2	r"#.*$"
ovpnfile	0.1.2	r"^<(\S+)>"
ovpnfile	0.1.2	r"^</(\S+)>"
screenruster-saver-fractal	0.1.1	r"#([:xdigit:]{2})([:xdigit:]{2})([:xdigit:]{2})"
scarlet	0.1.1	r"rgb\((?: *(\d{1,3}),)(?: *(\d{1,3}),)(?: *(\d{1,3}))\)"
cpp_to_rust_generator	0.2.0	r"^([\w:]+)<(.+)>$"
cpp_to_rust_generator	0.2.0	r"^type-parameter-(\d+)-(\d+)$"
cpp_to_rust_generator	0.2.0	r"^([\w~]+)<[^<>]+>$"
cpp_to_rust_generator	0.2.0	r"(signals|Q_SIGNALS)\s*:"
cpp_to_rust_generator	0.2.0	r"(slots|Q_SLOTS)\s*:"
cpp_to_rust_generator	0.2.0	r"(public|protected|private)\s*:"
cpp_to_rust	0.5.3	r"^([\w:]+)<(.+)>$"
cpp_to_rust	0.5.3	r"^type-parameter-(\d+)-(\d+)$"
cpp_to_rust	0.5.3	r"^([\w~]+)<[^<>]+>$"
cpp_to_rust	0.5.3	r"(signals|Q_SIGNALS)\s*:"
cpp_to_rust	0.5.3	r"(slots|Q_SLOTS)\s*:"
cpp_to_rust	0.5.3	r"(public|protected|private)\s*:"
fritzbox_logs	0.2.0	"(\\d{2}\\.\\d{2}\\.\\d{2}) (\\d{2}:\\d{2}:\\d{2}) (.*)"
smtp2go	0.1.4	r"^api-[a-zA-Z0-9]{32}$"
pusher	0.3.1	r"^[-a-zA-Z0-9_=@,.;]+$"
pusher	0.3.1	r"\A\d+\.\d+\z"
bakervm	0.9.0	r"^\.(.+?) +?(.+)$"
bakervm	0.9.0	r"^\.([^\s]+)$"
bakervm	0.9.0	r"^include! +([^\s]+)$"
bakervm	0.9.0	r"^@(\d+)$"
bakervm	0.9.0	r"^true|false$"
bakervm	0.9.0	r"^(-?\d+)?\.[0-9]+$"
bakervm	0.9.0	r"^(-?\d+)?$"
bakervm	0.9.0	r"^#([0-9abcdefABCDEF]{6})$"
bakervm	0.9.0	r"^'(.)'$"
bakervm	0.9.0	r"^\$vi\((\d+)\)$"
bakervm	0.9.0	r"^\$key\((\d+)\)$"
banana	0.0.2	"(?P<type>[A-Z^']+) (?P<route>[^']+) HTTP/(?P<http>[^']+)"
serial-key	2.0.0	r"[A-F0-9]{8}"
serde-hjson	0.8.1	"[\\\\\"\x00-\x1f\x7f-\u{9f}\u{00ad}\u{0600}-\u{0604}\u{070f}\u{17b4}\u{17b5}\u{200c}-\u{200f}\u{2028}-\u{202f}\u{2060}-\u{206f}\u{feff}\u{fff0}-\u{ffff}]"
serde-hjson	0.8.1	"[\x00-\x1f\x7f-\u{9f}\u{00ad}\u{0600}-\u{0604}\u{070f}\u{17b4}\u{17b5}\u{200c}-\u{200f}\u{2028}-\u{202f}\u{2060}-\u{206f}\u{feff}\u{fff0}-\u{ffff}]"
serde-hjson	0.8.1	"'''|[\x00-\x09\x0b\x0c\x0e-\x1f\x7f-\u{9f}\u{00ad}\u{0600}-\u{0604}\u{070f}\u{17b4}\u{17b5}\u{200c}-\u{200f}\u{2028}-\u{202f}\u{2060}-\u{206f}\u{feff}\u{fff0}-\u{ffff}]"
serde-odbc	0.1.0	r"/todos/(?P<id>\d+)"
sentiment	0.1.1	r"[^a-zA-Z0 -]+"
sentiment	0.1.1	r" {2,}"
verilog	0.0.1	r"(?m)//.*"
verex	0.2.2	"(?P<robot>C3PO)"
handlebars	1.0.0-beta.1	">|<|\"|&"
haikunator	0.1.2	r"^\w+-\w+-[0123456789]{4}$"
haikunator	0.1.2	r"^\w+@\w+@[0123456789]{4}$"
haikunator	0.1.2	r"^\w+-\w+-[0123456789abcdef]{4}$"
haikunator	0.1.2	r"^\w+-\w+-[0123456789忠犬ハチ公]{10}$"
haikunator	0.1.2	r"^\w+-\w+$"
haikunator	0.1.2	r"^\w+-\w+-[foo]{4}$"
haikunator	0.1.2	r"^\w+-\w+-[0123456789忠犬ハチ公]{5}$"
bobbin-cli	0.8.0	r"(.*)"
bobbin-cli	0.8.0	r"rustc (.*)"
bobbin-cli	0.8.0	r"cargo (.*)"
bobbin-cli	0.8.0	r"xargo (.*)\n"
bobbin-cli	0.8.0	r"Open On-Chip Debugger (.*)"
bobbin-cli	0.8.0	r"arm-none-eabi-gcc \(GNU Tools for ARM Embedded Processors[^\)]*\) (.*)"
bobbin-cli	0.8.0	r"(?m).*\nBasic Open Source SAM-BA Application \(BOSSA\) Version (.*)\n"
bobbin-cli	0.8.0	r"(?m)SEGGER J-Link Commander (.*)\n"
bobbin-cli	0.8.0	r"(?m)Teensy Loader, Command Line, Version (.*)\n"
bobbin-cli	0.8.0	r"dfu-util (.*)\n"
borsholder	0.6.1	r"^/static/[^\\/]+$"
fblog	1.0.0	"\u{001B}\\[[\\d;]*[^\\d;]"
fblog	1.0.0	"\u{001B}\\[[\\d;]*[^\\d;]"
truecase	0.1.0	r"[,.?!:;\s]+"
toml-query	0.6.0	r"^\[\d+\]$"
todo-txt	1.0.0	r" (?P<key>[^\s]+):(?P<value>[^\s^/]+)"
file-sniffer	3.0.1	r".*?\.(a|la|lo|o|ll|keter|bc|dyn_o|out|d|rlib|crate|min\.js|hi|dyn_hi|S|jsexe|webapp|js\.externs|ibc|toc|aux|fdb_latexmk|fls|egg-info|whl|js_a|js_hi|jld|ji|js_o|so.*|dump-.*|vmb|crx|orig|elmo|elmi|pyc|mod|p_hi|p_o|prof|tix)$"
file-sniffer	3.0.1	r".*?\.(stats|conf|h|cache.*|dat|pc|info)$"
file-sniffer	3.0.1	r".*?\.(exe|a|la|o|ll|keter|bc|dyn_o|out|d|rlib|crate|min\.js|hi|dyn_hi|jsexe|webapp|js\.externs|ibc|toc|aux|fdb_latexmk|fls|egg-info|whl|js_a|js_hi|jld|ji|js_o|so.*|dump-.*|vmb|crx|orig|elmo|elmi|pyc|mod|p_hi|p_o|prof|tix)$"
file-sniffer	3.0.1	r".*?\.(stats|conf|h|cache.*)$"
file-sniffer	3.0.1	r"(\.git|\.pijul|_darcs|\.hg)$"
file_logger	0.1.0	"test"
file_scanner	0.2.0	r"foo"
file_scanner	0.2.0	r"a+b"
file_scanner	0.2.0	r"a[ab]*b"
file_scanner	0.2.0	r"\s+"
file_scanner	0.2.0	r"\s+"
cellsplit	0.2.1	r"^\s*([^\s]+) %cellsplit<\d+>$"
cellsplit	0.2.1	r"^\s*([^\s]+) %cellsplit<\d+>$"
aterm	0.20.0	r"^[+\-]?[0-9]+"
aterm	0.20.0	r"^[+\-]?[0-9]+\.[0-9]*([eE][+\-]?[0-9]+)?"
atarashii_imap	0.3.0	r"^[*] OK"
atarashii_imap	0.3.0	r"FLAGS\s\((.+)\)"
atarashii_imap	0.3.0	r"\[PERMANENTFLAGS\s\((.+)\)\]"
atarashii_imap	0.3.0	r"\[UIDVALIDITY\s(\d+)\]"
atarashii_imap	0.3.0	r"(\d+)\sEXISTS"
atarashii_imap	0.3.0	r"(\d+)\sRECENT"
atarashii_imap	0.3.0	r"\[UNSEEN\s(\d+)\]"
atarashii_imap	0.3.0	r"\[UIDNEXT\s(\d+)\]"
editorconfig	1.0.0	r"\\(\{|\})"
editorconfig	1.0.0	r"(^|[^\\])\\\|"
editorconfig	1.0.0	r"\[([^\]]*)$"
editorconfig	1.0.0	r"\[(.*/.*)\]"
editorconfig	1.0.0	r"\{(-?\d+\\\.\\\.-?\d+)\}"
editorconfig	1.0.0	r"\{([^,]+)\}"
editorconfig	1.0.0	r"\{(([^\}].*)?(,|\|)(.*[^\\])?)\}"
editorconfig	1.0.0	r"^/"
editorconfig	1.0.0	r"(^|[^\\])(\{|\})"
unidiff	0.2.0	r"^--- (?P<filename>[^\t\n]+)(?:\t(?P<timestamp>[^\n]+))?"
unidiff	0.2.0	r"^\+\+\+ (?P<filename>[^\t\n]+)(?:\t(?P<timestamp>[^\n]+))?"
unidiff	0.2.0	r"^@@ -(\d+)(?:,(\d+))? \+(\d+)(?:,(\d+))? @@[ ]?(.*)"
unidiff	0.2.0	r"^(?P<line_type>[- \n\+\\]?)(?P<value>.*)"
slippy-map-tiles	0.14.0	"/?(?P<zoom>[0-9]?[0-9])/(?P<x>[0-9]{1,10})/(?P<y>[0-9]{1,10})(\\.[a-zA-Z]{3,4})?$"
slippy-map-tiles	0.14.0	"^(?P<zoom>[0-9]?[0-9])/(?P<x>[0-9]{1,10})/(?P<y>[0-9]{1,10})$"
slippy-map-tiles	0.14.0	"^(?P<scale>[0-9]+) (?P<zoom>[0-9]?[0-9])/(?P<x>[0-9]{1,10})/(?P<y>[0-9]{1,10})$"
slippy-map-tiles	0.14.0	r"^(?P<minlon>-?[0-9]{1,3}(\.[0-9]{1,10})?) (?P<minlat>-?[0-9]{1,3}(\.[0-9]{1,10})?) (?P<maxlon>-?[0-9]{1,3}(\.[0-9]{1,10})?) (?P<maxlat>-?[0-9]{1,3}(\.[0-9]{1,10})?)$"
slippy-map-tiles	0.14.0	r"^(?P<minlon>-?[0-9]{1,3}(\.[0-9]{1,10})?),(?P<minlat>-?[0-9]{1,3}(\.[0-9]{1,10})?),(?P<maxlon>-?[0-9]{1,3}(\.[0-9]{1,10})?),(?P<maxlat>-?[0-9]{1,3}(\.[0-9]{1,10})?)$"
sonos	0.1.2	r"^https?://(.+?):1400/xml"
validator_derive	0.6.1	r"^[a-z]{2}$"
validator_derive	0.6.1	r"[a-z]{2}"
validator_derive	0.6.1	r"[a-z]{2}"
waltz	0.4.0	r"[\s,]"
warheadhateus	0.2.1	r"^aws_access_key_id = (.*)"
warheadhateus	0.2.1	r"^aws_secret_access_key = (.*)"
warheadhateus	0.2.1	r"^aws_access_key_id = (.*)"
warheadhateus	0.2.1	r"^aws_secret_access_key = (.*)"
lalrpop	0.14.0	r"Span\([0-9 ,]*\)"
lalrpop-snap	0.14.0	r"Span\([0-9 ,]*\)"
nlp-tokenize	0.1.0	r"[\S]+"
kbgpg	0.1.2	"[[:xdigit:]][70]"
cdbd	0.1.1	r"^((?P<address>.*):)?(?P<port>\d+)$"
mbutiles	0.1.1	r"[\w\s=+-/]+\((\{(.|\n)*\})\);?"
