epub	1.1.1	r"/"
libimagutil	0.6.0	"^(?P<KEY>([^=]*))=(.*)$"
libimagutil	0.6.0	"(.*)=(\"(?P<QVALUE>([^\"]*))\"|(?P<VALUE>(.*)))$"
linux_ip	0.1.0	r"\s+"
linux_ip	0.1.0	r"\s*[\n\r]+\s*"
linux_ip	0.1.0	r"^([0-9a-fA-F\.:/]+)\s+dev\s+([a-z0-9\.]+)\s*(.*)$"
linux_ip	0.1.0	r"^([0-9a-fA-F\.:/]+|default)\s+via\s+([a-z0-9\.:]+)\s+dev\s+([a-z0-9\.]+)\s*(.*)$"
linux_ip	0.1.0	r"^(blackhole)\s+([0-9a-fA-F\.:/]+)$"
linux_ip	0.1.0	r"^(unreachable)\s+([0-9a-fA-F\.:/]+)\s+dev\s+([a-z0-9\.]+)\s+(.*)$"
linux_ip	0.1.0	r"\s*[\n\r]+\s*"
linux_ip	0.1.0	r"^\d+:\s+([a-zA-Z0-9\.-]+)(@\S+)*:\s+(.*)$"
linux_ip	0.1.0	r"\s*link/ether\s+([a-f0-9:]+)\s+.*"
linux_ip	0.1.0	r"\s*inet[6]*\s+([0-9a-f:\./]+)\s+.*"
linky	0.1.1	r"^(.*):(\d+): [^ ]* ([^ ]*)$"
linky	0.1.1	r"[^\w -]"
limonite	0.2.1	r"^(\d{4}-\d{2}-\d{2})-(\d{3})-(.+)$"
process-queue	0.1.1	r"^[a-zA-Z]+$"
pronghorn	0.1.2	r"^\{([a-zA-Z_]+)\}$"
protocol-ftp-client	0.1.1	"(?m:^(\\d{3}) (.+)\r$)"
protocol-ftp-client	0.1.1	"\"(.+)\""
protocol-ftp-client	0.1.1	"(\\w+) [Tt]ype: (\\w+)"
protocol-ftp-client	0.1.1	"(?m:^(\\d{3})-.+\r$)"
protocol-ftp-client	0.1.1	"Entering Passive Mode \\((\\d+),(\\d+),(\\d+),(\\d+),(\\d+),(\\d+)\\)"
protocol-ftp-client	0.1.1	"(?m:^(.+)\r$)"
protocol-ftp-client	0.1.1	"^([d-])(?:[rwx-]{3}){3} +\\d+ +\\w+ +\\w+ +(\\d+) +(.+) +(.+)$"
article-date-extractor	0.1.1	r"([\./\-_]{0,1}(19|20)\d{2})[\./\-_]{0,1}(([0-3]{0,1}[0-9][\./\-_])|(\w{3,5}[\./\-_]))([0-3]{0,1}[0-9][\./\-]{0,1})"
article-date-extractor	0.1.1	r"(?i)publishdate|pubdate|timestamp|article_date|articledate|date"
arthas_plugin	0.1.1	r"type\((.*)\)"
arthas_plugin	0.1.1	r"Vec<(.*)>"
arthas_plugin	0.1.1	r"Option<(.*)>"
arthas_plugin	0.1.1	r"HashMap<[a-z0-9A-Z]+, *(.*)>"
arthas_derive	0.1.0	"Vec *< *(.*) *>"
arthas_derive	0.1.0	r"Option *< *(.*) *>"
arthas_derive	0.1.0	r"HashMap *< *[a-z0-9A-Z]+ *, *(.*) *>"
glossy_codegen	0.2.0	r"/\*.*?\*/|//.*"
glossy_codegen	0.2.0	"^\\s*#\\s*include\\s+<([:print:]+)>\\s*$"
glossy_codegen	0.2.0	"^\\s*#\\s*include\\s+\"([:print:]+)\"\\s*$"
glossy_codegen	0.2.0	r"^\s*#\s*version\s+(\d+)"
glossy_codegen	0.2.0	r"^\s*$"
gluster	1.0.1	r"(?P<addr>via \S+)"
gluster	1.0.1	r"(?P<src>src \S+)"
gl_helpers	0.1.5	r"(.*)\[\d+\]"
gl_helpers	0.1.5	r"(\d+).(\d+)"
glr-parser	0.0.1	r"(?P<c>[\\\.\+\*\?\(\)\|\[\]\{\}\^\$])"
glr-parser	0.0.1	r"^\w+$"
glr-parser	0.0.1	"'[^']+'"
hoodlum	0.5.0	r"(?m)//.*"
form-checker	0.2.2	r"^1\d{10}$"
form-checker	0.2.2	r"(?i)^[\w.%+-]+@(?:[A-Z0-9-]+\.)+[A-Z]{2,4}$"
wikibase	0.1.4	r"(?x)(?P<user_agent>[a-zA-Z\d-_]+\/[0-9\.]+)"
wikibase	0.1.4	r"(?P<user_agent>[a-zA-Z\d-_]+/[0-9\.]+)"
wifiscanner	0.3.6	r"Cell [0-9]{2,} - Address:"
wifiscanner	0.3.6	r"([0-9a-zA-Z]{1}[0-9a-zA-Z]{1}[:]{1}){5}[0-9a-zA-Z]{1}[0-9a-zA-Z]{1}"
wifiscanner	0.3.6	r"Signal level=(\d+)/100"
bbcode	1.0.2	r"(?s)\[b\](.*?)\[/b\]"
bbcode	1.0.2	r"(?s)\[i\](.*?)\[/i\]"
bbcode	1.0.2	r"(?s)\[u\](.*?)\[/u\]"
bbcode	1.0.2	r"(?s)\[s\](.*?)\[/s\]"
bbcode	1.0.2	r"(?s)\[size=(\d+)](.*?)\[/size\]"
bbcode	1.0.2	r"(?s)\[color=(.+)](.*?)\[/color\]"
bbcode	1.0.2	r"(?s)\[center\](.*?)\[/center\]"
bbcode	1.0.2	r"(?s)\[left\](.*?)\[/left\]"
bbcode	1.0.2	r"(?s)\[right\](.*?)\[/right\]"
bbcode	1.0.2	r"(?s)\[table\](.*?)\[/table\]"
bbcode	1.0.2	r"(?s)\[td\](.*?)\[/td\]"
bbcode	1.0.2	r"(?s)\[tr\](.*?)\[/tr\]"
bbcode	1.0.2	r"(?s)\[th\](.*?)\[/th\]"
bbcode	1.0.2	r"(?s)\[url\](.*?)\[/url\]"
bbcode	1.0.2	r"(?s)\[url=(.+)\](.*?)\[/url\]"
bbcode	1.0.2	r"(?s)\[quote\](.*?)\[/quote\]"
bbcode	1.0.2	r"(?s)\[quote=(.+)\](.*?)\[/quote\]"
bbcode	1.0.2	r"(?s)\[img=(\d+)x(\d+)(\b.*)?\](.*?)\[/img\]"
bbcode	1.0.2	r"(?s)\[img=(.+)(\b.*)?\](.*?)\[/img\]"
bbcode	1.0.2	r"(?s)\[img(\b.*)?\](.*?)\[/img\]"
bbcode	1.0.2	r"(?s)\[ol\](.*?)\[/ol\]"
bbcode	1.0.2	r"(?s)\[ul\](.*?)\[/ul\]"
bbcode	1.0.2	r"(?s)\[list\](.*?)\[/list\]"
bbcode	1.0.2	r"(?s)\[youtube\](.*?)\[/youtube\]"
bbcode	1.0.2	r"(?s)\[youtube=(\d+)x(\d+)\](.*?)\[/youtube\]"
bbcode	1.0.2	r"(?s)\[li\](.*?)\[/li\]"
block-utils	0.5.0	r"loop\d+"
block-utils	0.5.0	r"ram\d+"
block-utils	0.5.0	r"md\d+"
rfc822_sanitizer	0.3.3	r"(\d{2}):(\d{2}):(\d{2})"
rfc822_sanitizer	0.3.3	r"(\d{1,2}):(\d{1,2}):(\d{1,2})"
faker	0.0.4	r"[2-9]"
faker	0.0.4	r"[1-9]"
faker	0.0.4	r"[0-9]"
faker	0.0.4	r"\d{10}"
faker	0.0.4	r"\d{1}"
faker	0.0.4	r"^\w+"
faker	0.0.4	r"^\w+"
faker	0.0.4	r"^(\w+\.? ?){2,3}$"
faker	0.0.4	r"^[A-Z][a-z]+\.?$"
faker	0.0.4	r"^[A-Z][A-Za-z]*\.?$"
faker	0.0.4	r"http://lorempixel.com/100/100/\w+"
faker	0.0.4	r"http://lorempixel.com/100/100/cats"
fancy-regex	0.1.0	"(?i:ß)"
fancy-regex	0.1.0	"(?i:\\x{0587})"
fancy-regex	0.1.0	"^\\\\([!-/:-@\\[-`\\{-~aftnrv]|[0-7]{1,3}|x[0-9a-fA-F]{2}|x\\{[0-9a-fA-F]{1,6}\\})"
fanta	0.1.6	r":\w+"
fanta	0.1.6	r"^:(\w+)$"
fanta	0.1.6	r"^(__\w+__)/(.*)"
fanta-cli	0.1.1	r"(.)([A-Z])"
fanta-cli	0.1.1	"\\{:[^\\s]+\\}"
amigo	0.3.1	r"^-?\d+(\.\d)?"
amigo	0.3.1	r"^[a-zA-Z_]+[\w-]*[!?_]?"
amigo	0.3.1	r"^\("
amigo	0.3.1	r"^\)"
amigo	0.3.1	r"^\s+"
hifitime	0.1.0	r"^(\d{4})-(\d{2})-(\d{2})(?:T|\W)(\d{2}):(\d{2}):(\d{2})(([\+|-]\d{2}):(\d{2}))?$"
ethcore-logger	1.9.0	"\x1b\\[[^m]+m"
dash2html	1.0.1	r"__.*?__"
dash2html	1.0.1	r"(?i)@(?:time|clipboard|cursor|date)"
os_type	2.0.0	r"^Microsoft Windows \[Version\s(\d+\.\d+\.\d+)\]$"
os_type	2.0.0	r"ProductName:\s([\w\s]+)\n"
os_type	2.0.0	r"ProductVersion:\s(\w+\.\w+\.\w+)"
os_type	2.0.0	r"BuildVersion:\s(\w+)"
os_type	2.0.0	r"(\w+) Linux release"
os_type	2.0.0	r"release\s([\w\.]+)"
os_type	2.0.0	r"Distributor ID:\s(\w+)"
os_type	2.0.0	r"Release:\s([\w\.]+)"
bindgen	0.33.1	r"typename type\-parameter\-\d+\-\d+::.+"
oozz	0.4.1	r"[^a-zA-Z\s!\./'\042_\$0-9]"
oozz	0.4.1	r"(\x1b[^m]*m|\x1b\[\d+C)"
oozz	0.4.1	r"(\x1b\[)([0-9]+)(C)"
imap	0.7.0	"^+(.*)\r\n"
image-base64	0.1.0	r"^ffd8ffe0"
image-base64	0.1.0	r"^89504e47"
image-base64	0.1.0	r"^47494638"
json-pointer	0.3.2	"^(/([^/~]|~[01])*)*$"
json-pointer	0.3.2	"^#(/([^/~%]|~[01]|%[0-9a-fA-F]{2})*)*$"
mysql_common	0.5.0	r"^5.5.5-(\d{1,2})\.(\d{1,2})\.(\d{1,3})-MariaDB"
mysql_common	0.5.0	r"^(\d{1,2})\.(\d{1,2})\.(\d{1,3})(.*)"
government_id	0.1.0	r"^[0-9]{4}[0-9A-Z]{2}[0-9]{3}$"
ohmers	0.1.1	r"UniqueIndexViolation: (\w+)"
elasticlunr-rs	0.2.2	"^(.+?)(ss|i)es$"
